raceId,constructorId,team_points,team_wins,team_standing_position
1136,1,438,3,2
23,1,53,2,2
143,1,21,1,2
855,1,388,5,2
53,1,10,0,2
402,1,76,3,2
413,1,63,2,2
427,1,38,3,2
873,1,261,5,2
76,1,51,2,2
153,1,72,3,2
180,1,46,3,2
844,1,105,1,2
866,1,133,2,2
277,1,34,2,2
416,1,75,3,2
901,1,43,0,2
29,1,113,5,2
160,1,10,0,2
161,1,26,1,2
394,1,39,2,2
401,1,72,3,2
865,1,108,1,2
83,1,105,5,2
55,1,23,0,2
78,1,63,3,2
151,1,66,3,2
155,1,81,3,2
156,1,95,4,2
282,1,53,3,2
86,1,146,8,2
283,1,53,3,2
469,1,20,1,2
624,1,23,1,2
355,1,454,5,2
1031,1,26,0,2
598,1,43,3,2
842,1,48,0,2
1134,1,366,2,2
154,1,81,3,2
166,1,82,4,2
184,1,74,4,2
400,1,72,3,2
480,1,60,4,2
864,1,98,1,2
564,1,19,1,2
600,1,49,3,2
338,1,54,1,2
349,1,329,5,2
1066,1,234,1,3
140,1,65,1,3
1047,1,202,0,3
292,1,12,0,3
611,1,26,1,3
618,1,55,3,3
565,1,21,1,3
585,1,39.5,3,3
61,1,65,0,3
285,1,60,3,3
293,1,16,0,3
1034,1,51,0,3
1065,1,215,1,3
22,1,42,1,3
73,1,19,0,3
118,1,95,2,3
16,1,71,2,3
587,1,41,3,3
607,1,12,0,3
119,1,103,2,3
613,1,35,2,3
513,1,4,0,3
1054,1,53,0,3
70,1,110,0,3
125,1,4,0,3
1129,1,212,1,3
1131,1,268,1,3
1132,1,295,1,3
298,1,44,2,3
422,1,12,1,3
1067,1,240,1,3
426,1,29,2,3
626,1,27,1,3
117,1,85,2,3
557,1,47,2,3
617,1,46,2,3
300,1,60,3,3
552,1,34,1,3
875,1,284,5,3
120,1,115,2,3
123,1,142,2,3
561,1,7,0,3
1040,1,106,0,3
124,1,4,0,3
68,1,101,0,3
589,1,53,3,3
876,1,306,5,3
1033,1,41,0,3
1052,1,18,0,3
131,1,33,1,3
423,1,21,2,3
512,1,4,0,3
64,1,77,0,3
609,1,15,0,3
615,1,42,2,3
67,1,97,0,3
130,1,24,1,3
132,1,37,1,3
210,1,20,1,3
467,1,4,0,3
616,1,42,2,3
566,1,23,1,3
1055,1,65,0,3
27,1,86,4,3
126,1,8,0,3
135,1,49,1,3
584,1,30.5,2,3
869,1,160,2,3
1123,1,55,0,3
1061,1,163,0,3
586,1,39.5,3,3
25,1,58,2,3
569,1,40,3,3
606,1,6,0,3
59,1,50,0,3
54,1,15,0,3
137,1,57,1,3
301,1,73,4,3
588,1,47,3,3
17,1,71,2,3
902,1,43,0,3
1127,1,154,1,3
20,1,28,1,3
631,1,47,1,3
879,1,378,7,3
1058,1,120,0,3
1124,1,69,0,3
212,1,21,1,3
572,1,52,4,3
582,1,26.5,2,3
619,1,58,3,3
877,1,318,5,3
1059,1,110,0,3
57,1,38,0,3
26,1,72,3,3
291,1,9,0,3
398,1,51,2,3
562,1,9,0,3
1060,1,141,0,3
69,1,105,0,3
211,1,20,1,3
567,1,31,2,3
1053,1,41,0,3
1128,1,184,1,3
65,1,85,0,3
136,1,54,1,3
138,1,57,1,3
583,1,26.5,2,3
614,1,38,2,3
1038,1,98,0,3
1039,1,106,0,3
1056,1,80,0,3
24,1,53,2,3
134,1,47,1,3
74,1,25,0,3
127,1,9,0,3
63,1,71,0,3
260,1,10,0,3
568,1,31,2,3
570,1,43,3,3
342,1,129,2,3
62,1,65,0,3
75,1,37,1,3
133,1,37,1,3
284,1,56,3,3
421,1,9,1,3
559,1,60,3,3
66,1,89,0,3
297,1,38,2,3
878,1,353,6,3
990,1,22,0,3
1069,1,254,1,3
1130,1,237,1,3
60,1,59,0,3
116,1,76,2,3
122,1,128,2,3
21,1,34,1,3
286,1,60,3,3
610,1,17,0,3
625,1,23,1,3
1037,1,68,0,3
58,1,42,0,3
128,1,13,0,3
129,1,14,0,3
424,1,25,2,3
608,1,15,0,3
425,1,25,2,3
545,1,9,0,3
612,1,26,1,3
1063,1,169,0,3
1125,1,96,0,3
1126,1,124,1,3
121,1,120,2,3
139,1,61,1,3
1045,1,171,0,3
1122,1,28,0,3
221,1,44,2,4
551,1,25,0,4
1072,1,269,1,4
217,1,28,1,4
229,1,16,0,4
1044,1,149,0,4
219,1,38,2,4
243,1,6,0,4
546,1,9,0,4
1057,1,92,0,4
992,1,36,0,4
1023,1,83,0,4
1028,1,121,0,4
405,1,7,0,4
230,1,18,0,4
231,1,23,0,4
255,1,27,0,4
269,1,34,0,4
220,1,44,2,4
15,1,65,2,4
1078,1,46,0,4
548,1,15,0,4
241,1,4,0,4
4,1,13,0,4
1014,1,22,0,4
223,1,63,3,4
264,1,14,0,4
1043,1,134,0,4
216,1,28,1,4
265,1,14,0,4
549,1,15,0,4
627,1,29,1,4
1022,1,82,0,4
226,1,5,0,4
11,1,41,1,4
14,1,59,2,4
1042,1,124,0,4
1117,1,256,0,4
271,1,38,0,4
1019,1,60,0,4
1025,1,101,0,4
235,1,37,0,4
605,1,2,0,4
1116,1,242,0,4
544,1,6,0,4
1027,1,111,0,4
234,1,34,0,4
1018,1,52,0,4
1070,1,255,1,4
1020,1,70,0,4
237,1,45,0,4
267,1,23,0,4
3,1,8,0,4
547,1,12,0,4
556,1,38,1,4
1015,1,30,0,4
239,1,49,0,4
256,1,30,0,4
868,1,142,2,4
1013,1,18,0,4
1036,1,62,0,4
1064,1,170,0,4
1082,1,65,0,4
240,1,4,0,4
242,1,6,0,4
554,1,35,1,4
218,1,28,1,4
224,1,2,0,4
550,1,21,0,4
233,1,32,0,4
244,1,8,0,4
1035,1,53,0,4
225,1,5,0,4
1076,1,24,0,4
222,1,47,2,4
1029,1,140,0,4
558,1,51,2,4
1051,1,258,1,4
236,1,41,0,4
989,1,12,0,4
991,1,28,0,4
1118,1,282,0,4
268,1,29,0,4
228,1,9,0,4
252,1,21,0,4
456,1,21,1,4
555,1,35,1,4
1021,1,82,0,4
1024,1,89,0,4
1081,1,65,0,4
213,1,21,1,4
272,1,42,0,4
238,1,45,0,4
1026,1,111,0,4
214,1,21,1,4
254,1,21,0,4
527,1,3,0,4
1030,1,145,0,4
1073,1,275,1,4
1121,1,12,0,4
1016,1,30,0,4
1119,1,284,0,4
215,1,24,1,4
1046,1,184,0,4
1079,1,50,0,4
1091,1,129,0,4
232,1,26,0,4
266,1,17,0,4
13,1,47,1,4
1077,1,46,0,4
1083,1,73,0,4
270,1,38,0,4
1071,1,256,1,4
1120,1,302,0,4
5,1,13,0,4
553,1,34,1,4
1017,1,40,0,4
1080,1,59,0,4
227,1,9,0,4
251,1,21,0,4
1041,1,116,0,4
1062,1,163,0,4
253,1,21,0,4
12,1,44,1,4
1084,1,81,0,4
71,1,4,0,5
92,1,4,0,5
1111,1,111,0,5
1112,1,115,0,5
917,1,161,0,5
94,1,5,0,5
245,1,8,0,5
491,1,20,1,5
1108,1,59,0,5
104,1,52,1,5
459,1,26,1,5
90,1,1,0,5
100,1,32,0,5
10,1,28,1,5
460,1,27,1,5
535,1,11,0,5
461,1,29,1,5
634,1,6,0,5
882,1,14,0,5
1100,1,12,0,5
262,1,10,0,5
465,1,34,1,5
632,1,1,0,5
892,1,66,0,5
1093,1,138,0,5
93,1,5,0,5
894,1,81,0,5
1101,1,14,0,5
103,1,49,1,5
463,1,34,1,5
916,1,147,0,5
993,1,40,0,5
1085,1,89,0,5
891,1,65,0,5
995,1,40,0,5
1087,1,95,0,5
101,1,37,0,5
517,1,5,0,5
1088,1,101,0,5
1096,1,159,0,5
458,1,25,1,5
536,1,12,0,5
246,1,8,0,5
996,1,40,0,5
994,1,40,0,5
1115,1,219,0,5
464,1,34,1,5
466,1,34,1,5
107,1,69,1,5
6,1,13,0,5
906,1,66,0,5
1094,1,146,0,5
263,1,10,0,5
1110,1,103,0,5
98,1,17,0,5
899,1,122,0,5
99,1,22,0,5
102,1,37,0,5
105,1,58,1,5
516,1,4,0,5
1011,1,8,0,5
106,1,61,1,5
1109,1,87,0,5
462,1,30,1,5
7,1,13,0,5
912,1,110,0,5
1086,1,95,0,5
1092,1,130,0,5
261,1,10,0,5
918,1,181,0,5
898,1,102,0,5
903,1,43,0,5
1095,1,148,0,5
515,1,4,0,5
896,1,93,0,5
1089,1,107,0,5
915,1,143,0,5
91,1,4,0,5
895,1,83,0,5
905,1,52,0,5
1114,1,172,0,5
897,1,95,0,5
911,1,105,0,5
893,1,76,0,5
560,1,1,0,5
1102,1,14,0,5
457,1,21,1,5
514,1,4,0,5
1113,1,139,0,5
909,1,96,0,6
493,1,22,1,6
496,1,28,1,6
518,1,8,0,6
913,1,111,0,6
529,1,3,0,6
1009,1,62,0,6
9,1,14,0,6
96,1,5,0,6
1004,1,58,0,6
247,1,10,0,6
248,1,10,0,6
249,1,10,0,6
883,1,23,0,6
633,1,3,0,6
635,1,6,0,6
641,1,10,0,6
1002,1,52,0,6
1107,1,29,0,6
95,1,5,0,6
497,1,28,1,6
880,1,2,0,6
908,1,90,0,6
961,1,48,0,6
962,1,54,0,6
910,1,97,0,6
963,1,62,0,6
97,1,12,0,6
888,1,49,0,6
1008,1,62,0,6
1105,1,17,0,6
492,1,21,1,6
259,1,4,0,6
960,1,48,0,6
967,1,75,0,6
1106,1,17,0,6
1001,1,52,0,6
8,1,13,0,6
528,1,3,0,6
884,1,29,0,6
250,1,12,0,6
1003,1,58,0,6
642,1,10,0,6
886,1,37,0,6
907,1,72,0,6
494,1,22,1,6
495,1,22,1,6
904,1,43,0,6
997,1,44,0,6
887,1,37,0,6
966,1,74,0,6
1006,1,58,0,6
1007,1,62,0,6
498,1,1,0,6
890,1,57,0,6
914,1,121,0,6
964,1,62,0,6
1005,1,58,0,6
885,1,37,0,6
968,1,76,0,6
1104,1,17,0,6
72,1,9,0,6
965,1,74,0,6
958,1,38,0,7
956,1,32,0,7
537,1,12,0,7
1012,1,8,0,7
881,1,4,0,7
957,1,32,0,7
955,1,24,0,7
959,1,42,0,7
636,1,6,0,7
522,1,13,0,7
639,1,6,0,7
525,1,14,0,7
521,1,13,0,7
523,1,13,0,7
951,1,10,0,7
999,1,48,0,7
638,1,6,0,7
524,1,13,0,7
520,1,11,0,7
530,1,3,0,7
953,1,24,0,7
637,1,6,0,7
1000,1,52,0,7
954,1,24,0,7
490,1,11,0,7
998,1,48,0,7
526,1,15,0,7
519,1,8,0,7
504,1,6,0,8
952,1,12,0,8
541,1,15,0,8
950,1,1,0,8
508,1,8,0,8
538,1,12,0,8
949,1,1,0,8
1075,1,6,0,8
539,1,12,0,8
499,1,3,0,8
542,1,15,0,8
502,1,6,0,8
510,1,11,0,8
503,1,6,0,8
926,1,0,0,8
505,1,7,0,8
540,1,14,0,8
500,1,3,0,8
531,1,3,0,8
501,1,6,0,8
532,1,3,0,8
533,1,4,0,8
2,1,1,0,8
489,1,5,0,8
506,1,7,0,8
640,1,6,0,8
987,1,28,0,9
511,1,11,0,9
943,1,27,0,9
981,1,11,0,9
404,1,0,0,9
944,1,27,0,9
933,1,4,0,9
983,1,23,0,9
937,1,17,0,9
969,1,0,0,9
1074,1,0,0,9
980,1,11,0,9
934,1,5,0,9
986,1,24,0,9
982,1,17,0,9
928,1,0,0,9
929,1,0,0,9
932,1,4,0,9
507,1,7,0,9
942,1,27,0,9
945,1,27,0,9
941,1,19,0,9
936,1,17,0,9
948,1,0,0,9
988,1,30,0,9
509,1,8,0,9
979,1,11,0,9
930,1,0,0,9
1010,1,0,0,9
984,1,23,0,9
938,1,17,0,9
985,1,23,0,9
534,1,7,0,9
931,1,4,0,9
939,1,17,0,9
927,1,0,0,9
940,1,17,0,9
973,1,0,0,10
1099,1,0,0,10
977,1,2,0,10
971,1,0,0,10
975,1,0,0,10
1098,1,0,0,10
970,1,0,0,10
974,1,0,0,10
972,1,0,0,10
976,1,2,0,10
978,1,2,0,10
38,1,44,1,11
51,1,210,8,11
39,1,58,1,11
47,1,148,6,11
49,1,192,7,11
40,1,76,2,11
37,1,32,1,11
46,1,138,6,11
50,1,202,8,11
41,1,88,3,11
486,1,1,0,11
487,1,1,0,11
44,1,128,5,11
36,1,14,0,11
48,1,166,7,11
43,1,114,4,11
42,1,106,4,11
52,1,218,8,11
488,1,1,0,11
45,1,138,5,11
543,1,0,0,12
485,1,0,0,12
257,1,0,0,12
484,1,0,0,12
258,1,0,0,13
678,1,0,0,14
674,1,0,0,14
677,1,0,0,14
676,1,0,0,14
675,1,0,0,14
483,1,0,0,15
20,2,30,0,1
45,2,61,0,2
52,2,101,0,2
24,2,70,1,2
44,2,56,0,2
19,2,19,0,2
46,2,71,0,2
40,2,30,0,2
21,2,35,0,2
27,2,89,1,2
50,2,92,0,2
37,2,10,0,2
22,2,44,0,2
25,2,74,1,2
26,2,82,1,2
36,2,5,0,2
49,2,90,0,2
39,2,23,0,2
51,2,94,0,2
42,2,39,0,2
41,2,38,0,2
47,2,77,0,2
48,2,86,0,2
38,2,18,0,2
43,2,48,0,2
34,2,135,1,3
35,2,135,1,3
23,2,52,0,3
28,2,90,1,3
31,2,117,1,3
33,2,128,1,3
30,2,107,1,3
2,2,4,0,3
29,2,96,1,3
32,2,120,1,3
18,2,8,0,3
60,2,17,0,5
69,2,36,0,5
56,2,10,0,5
55,2,10,0,5
67,2,33,0,5
68,2,35,0,5
70,2,36,0,5
61,2,19,0,5
3,2,4,0,5
57,2,11,0,5
62,2,19,0,5
59,2,14,0,5
58,2,12,0,5
64,2,20,0,6
54,2,2,0,6
17,2,36,0,6
66,2,26,0,6
63,2,20,0,6
4,2,4,0,6
5,2,6,0,6
65,2,26,0,6
13,2,20,0,7
16,2,32,0,7
1,2,0,0,7
12,2,18,0,7
10,2,8,0,8
6,2,6,0,8
8,2,8,0,8
9,2,8,0,8
7,2,8,0,8
15,2,24,0,8
53,2,0,0,8
14,2,21,0,8
11,2,9,0,8
221,3,112,8,1
228,3,65,5,1
413,3,89,6,1
485,3,39,2,1
269,3,89,5,1
313,3,71,4,1
499,3,13,1,1
286,3,149,10,1
297,3,116,7,1
210,3,30,3,1
242,3,29,2,1
294,3,84,5,1
402,3,137,9,1
272,3,118,7,1
399,3,110,7,1
484,3,30,2,1
285,3,139,10,1
395,3,69,4,1
418,3,135,9,1
490,3,61,3,1
506,3,67,4,1
277,3,46,3,1
301,3,144,8,1
400,3,122,8,1
487,3,52,3,1
488,3,58,3,1
505,3,57,4,1
209,3,20,2,1
230,3,69,5,1
289,3,16,1,1
290,3,32,2,1
298,3,126,8,1
288,3,168,10,1
412,3,76,5,1
491,3,67,3,1
271,3,108,6,1
284,3,129,9,1
503,3,34,2,1
235,3,141,10,1
318,3,117,7,1
389,3,16,1,1
236,3,149,10,1
403,3,137,9,1
404,3,9,1,1
411,3,61,4,1
291,3,48,3,1
502,3,25,1,1
120,3,129,4,1
222,3,118,8,1
295,3,84,5,1
410,3,48,3,1
492,3,67,3,1
237,3,149,10,1
396,3,78,5,1
414,3,102,7,1
415,3,102,7,1
121,3,141,4,1
276,3,36,2,1
239,3,175,12,1
397,3,93,6,1
486,3,43,2,1
495,3,86,3,1
498,3,9,1,1
509,3,90,4,1
489,3,61,3,1
292,3,58,4,1
299,3,132,8,1
234,3,125,9,1
278,3,55,3,1
238,3,165,11,1
279,3,69,4,1
126,3,30,1,1
224,3,16,1,1
303,3,164,10,1
273,3,10,1,1
281,3,95,6,1
296,3,100,6,1
510,3,105,5,1
394,3,60,3,1
300,3,142,8,1
409,3,46,3,1
497,3,95,4,1
507,3,77,4,1
233,3,111,8,1
293,3,74,5,1
220,3,98,7,1
227,3,55,4,1
232,3,101,7,1
226,3,42,3,1
280,3,85,5,1
419,3,141,9,1
483,3,15,1,1
225,3,26,2,1
287,3,158,10,1
282,3,105,7,1
398,3,106,7,1
401,3,137,9,1
231,3,85,6,1
304,3,164,10,1
125,3,22,1,1
417,3,130,9,1
283,3,115,8,1
229,3,65,5,1
393,3,45,2,1
406,3,21,1,1
416,3,117,8,1
494,3,76,3,1
302,3,154,9,1
493,3,72,3,1
511,3,120,6,1
496,3,86,3,1
508,3,80,4,1
223,3,123,8,1
504,3,44,3,1
140,3,92,1,2
191,3,6,0,2
257,3,6,0,2
314,3,81,4,2
458,3,32,1,2
315,3,83,4,2
388,3,7,0,2
127,3,37,1,2
18,3,9,0,2
311,3,45,2,2
135,3,76,1,2
216,3,62,5,2
255,3,108,4,2
219,3,84,6,2
131,3,54,1,2
248,3,58,2,2
208,3,10,1,2
250,3,80,3,2
212,3,40,4,2
367,3,52,1,2
436,3,6,0,2
217,3,72,6,2
275,3,26,1,2
316,3,93,5,2
407,3,24,1,2
370,3,64,1,2
240,3,6,0,2
390,3,16,1,2
138,3,86,1,2
264,3,43,2,2
267,3,62,3,2
312,3,55,3,2
251,3,80,3,2
134,3,66,1,2
253,3,98,4,2
371,3,77,2,2
408,3,33,2,2
323,3,15,1,2
116,3,82,2,2
158,3,4,0,2
274,3,16,1,2
320,3,125,7,2
108,3,9,0,2
249,3,74,3,2
254,3,108,4,2
270,3,95,5,2
130,3,54,1,2
136,3,80,1,2
526,3,75,5,2
128,3,43,1,2
214,3,52,4,2
247,3,52,2,2
317,3,103,6,2
525,3,75,5,2
215,3,62,5,2
241,3,16,1,2
91,3,17,0,2
467,3,8,0,2
365,3,42,1,2
500,3,15,1,2
268,3,73,4,2
366,3,45,1,2
391,3,22,1,2
405,3,15,1,2
244,3,38,2,2
246,3,48,2,2
361,3,31,1,2
218,3,78,6,2
360,3,16,0,2
119,3,118,4,2
362,3,35,1,2
133,3,61,1,2
90,3,9,0,2
117,3,100,3,2
363,3,35,1,2
243,3,32,2,2
310,3,33,1,2
364,3,38,1,2
118,3,108,3,2
122,3,144,4,2
132,3,57,1,2
137,3,86,1,2
139,3,89,1,2
256,3,118,5,2
124,3,6,0,2
213,3,43,4,2
211,3,30,3,2
252,3,94,4,2
524,3,62,4,2
319,3,121,7,2
392,3,30,1,2
123,3,144,4,2
129,3,50,1,2
192,3,8,0,2
324,3,18,1,2
437,3,6,0,2
263,3,31,1,3
306,3,6,0,3
332,3,44,2,3
334,3,49,2,3
452,3,3,0,3
149,3,37,2,3
155,3,73,4,3
266,3,49,2,3
479,3,46,0,3
193,3,8,0,3
262,3,25,1,3
522,3,49,3,3
930,3,81,0,3
115,3,64,1,3
918,3,320,0,3
203,3,33,0,3
144,3,12,1,3
943,3,243,0,3
939,3,198,0,3
945,3,257,0,3
169,3,24,0,3
933,3,129,0,3
153,3,59,3,3
204,3,33,0,3
328,3,27,1,3
927,3,30,0,3
471,3,20,0,3
942,3,220,0,3
265,3,43,2,3
308,3,12,0,3
480,3,55,1,3
916,3,238,0,3
936,3,151,0,3
206,3,38,0,3
501,3,15,1,3
929,3,61,0,3
175,3,4,0,3
205,3,35,0,3
261,3,17,1,3
944,3,253,0,3
523,3,58,4,3
146,3,18,1,3
195,3,14,0,3
307,3,6,0,3
435,3,71,4,3
937,3,161,0,3
154,3,59,3,3
468,3,8,0,3
156,3,73,4,3
469,3,14,0,3
932,3,104,0,3
171,3,34,0,3
459,3,35,1,3
168,3,22,0,3
928,3,48,0,3
145,3,18,1,3
368,3,52,1,3
173,3,36,0,3
174,3,36,0,3
931,3,81,0,3
164,3,15,0,3
325,3,18,1,3
331,3,42,2,3
521,3,38,2,3
150,3,43,2,3
151,3,46,2,3
172,3,34,0,3
148,3,28,2,3
369,3,54,1,3
917,3,254,0,3
934,3,151,0,3
162,3,15,0,3
152,3,56,3,3
194,3,13,0,3
161,3,12,0,3
167,3,19,0,3
114,3,50,1,3
163,3,15,0,3
309,3,17,0,3
938,3,188,0,3
940,3,208,0,3
147,3,18,1,3
333,3,44,2,3
326,3,20,1,3
909,3,121,0,3
259,3,7,0,3
330,3,42,2,3
914,3,201,0,3
915,3,216,0,3
941,3,220,0,3
460,3,35,1,3
92,3,19,0,3
157,3,80,4,3
245,3,38,2,3
170,3,30,0,3
321,3,4,0,3
473,3,26,0,3
912,3,177,0,3
948,3,14,0,3
78,3,47,0,3
913,3,187,0,3
19,3,9,0,4
426,3,23,1,4
93,3,27,0,4
109,3,14,0,4
911,3,150,0,4
46,3,20,0,4
188,3,33,0,4
184,3,22,0,4
196,3,16,0,4
476,3,34,0,4
432,3,34,1,4
49,3,28,0,4
953,3,66,0,4
958,3,94,0,4
76,3,35,0,4
258,3,6,0,4
465,3,36,1,4
425,3,17,1,4
176,3,7,0,4
474,3,26,0,4
22,3,13,0,4
23,3,15,0,4
111,3,23,0,4
186,3,24,0,4
482,3,58,1,4
99,3,37,0,4
954,3,81,0,4
182,3,19,0,4
955,3,90,0,4
97,3,36,0,4
106,3,74,0,4
908,3,103,0,4
21,3,12,0,4
464,3,36,1,4
926,3,12,0,4
429,3,24,1,4
969,3,8,0,4
94,3,30,0,4
202,3,30,0,4
329,3,30,1,4
39,3,5,0,4
52,3,33,0,4
104,3,60,0,4
431,3,25,1,4
71,3,4,0,4
75,3,21,0,4
183,3,19,0,4
481,3,55,1,4
159,3,7,0,4
951,3,51,0,4
42,3,13,0,4
73,3,13,0,4
103,3,54,0,4
198,3,19,0,4
327,3,21,1,4
427,3,23,1,4
433,3,47,2,4
462,3,36,1,4
47,3,22,0,4
949,3,20,0,4
959,3,96,0,4
101,3,47,0,4
110,3,16,0,4
51,3,28,0,4
