raceId,driverId,total_points,total_wins,standing_position
783,547,0,0,35
269,92,0,0,36
493,118,0,0,36
569,280,0,0,36
363,162,0,0,37
539,242,0,0,37
678,207,0,0,37
819,738,0,0,37
268,114,0,0,37
555,232,0,0,38
763,481,0,0,38
763,569,0,0,39
801,592,0,0,39
832,580,0,0,39
652,330,0,0,40
780,593,0,0,40
806,653,0,0,41
366,164,0,0,42
542,244,0,0,42
559,270,0,0,42
824,744,0,0,42
271,112,0,0,42
369,88,0,0,43
737,459,0,0,43
760,364,0,0,43
769,455,0,0,43
780,541,0,0,43
787,586,0,0,43
795,578,0,0,43
603,269,0,0,44
758,560,0,0,44
761,566,0,0,44
559,219,0,0,45
768,584,0,0,45
815,699,0,0,45
554,269,0,0,46
795,623,0,0,46
797,645,0,0,46
802,596,0,0,46
744,487,0,0,47
755,517,0,0,47
768,595,0,0,48
782,541,0,0,48
810,649,0,0,48
604,319,0,0,49
794,578,0,0,49
749,536,0,0,51
737,368,0,0,52
768,512,0,0,52
782,547,0,0,52
744,491,0,0,53
829,747,0,0,53
773,582,0,0,54
798,625,0,0,54
820,725,0,0,54
782,478,0,0,55
805,592,0,0,55
787,532,0,0,56
783,478,0,0,57
787,556,0,0,57
800,519,0,0,58
752,534,0,0,59
774,523,0,0,59
805,676,0,0,59
748,484,0,0,60
821,475,0,0,60
838,427,0,0,60
737,442,0,0,61
754,529,0,0,61
760,484,0,0,61
797,656,0,0,61
815,630,0,0,61
811,677,0,0,62
835,615,0,0,62
754,531,0,0,63
812,625,0,0,64
820,520,0,0,65
761,553,0,0,66
788,512,0,0,68
813,625,0,0,68
798,665,0,0,69
791,556,0,0,73
822,717,0,0,73
831,449,0,0,74
763,571,0,0,75
764,465,0,0,75
782,616,0,0,75
773,597,0,0,77
753,465,0,0,78
791,631,0,0,78
822,755,0,0,78
760,517,0,0,79
807,541,0,0,80
774,536,0,0,82
754,504,0,0,86
755,486,0,0,90
814,705,0,0,90
816,659,0,0,96
622,289,1,0,11
1099,848,1,0,13
181,37,1,0,14
276,77,1,0,14
460,184,1,0,14
547,254,1,0,14
170,41,1,0,15
1033,826,1,0,15
383,138,1,0,16
1127,825,1,0,16
45,20,1,0,17
318,139,1,0,17
491,175,1,0,17
190,37,1,0,18
216,78,1,0,18
283,70,1,0,18
539,230,1,0,18
550,197,1,0,18
395,122,1,0,19
511,207,1,0,20
574,243,1,0,20
650,364,1,0,20
287,100,1,0,21
474,172,1,0,21
497,194,1,0,21
270,109,1,0,24
478,172,1,0,24
655,321,1,0,25
389,84,2,0,9
411,170,2,0,11
530,202,2,0,12
810,695,2,0,12
584,288,2,0,13
1054,852,2,0,13
169,37,2,0,14
170,37,2,0,14
333,131,2,0,14
312,138,2,0,14
416,175,2,0,14
118,44,2,0,15
172,25,2,0,15
238,64,2,0,15
319,138,2,0,15
812,695,2,0,15
837,697,2,0,15
829,704,2,0,16
915,824,2,0,16
570,278,2,0,17
863,13,2,0,17
1065,8,2,0,17
17,7,2,0,19
367,140,2,0,20
71,31,3,0,6
375,123,3,0,7
669,306,3,0,10
440,119,3,0,11
131,13,3,0,12
487,212,3,0,12
991,832,3,0,12
202,55,3,0,13
647,363,3,0,13
148,55,3,0,14
9,67,3,0,14
735,347,3,0,14
335,138,3,0,15
569,207,3,0,15
618,333,3,0,15
650,224,3,0,15
789,486,3,0,15
552,178,3,0,16
745,289,3,0,16
508,187,3,0,18
765,578,4,0,3
833,686,4,0,3
468,163,4,0,4
669,358,4,0,6
359,131,4,0,7
209,23,4,0,8
308,109,4,0,8
93,14,4,0,9
836,589,4,0,9
299,110,4,0,10
751,289,4,0,10
768,533,4,0,10
812,670,4,0,10
315,109,4,0,11
316,92,4,0,12
396,158,4,0,12
595,235,4,0,12
972,154,4,0,12
463,119,4,0,13
1076,852,4,0,13
45,11,4,0,14
507,197,4,0,14
652,207,4,0,14
863,813,4,0,14
497,176,4,0,16
773,529,4,0,16
807,644,4,0,16
1113,855,4,0,16
1026,841,4,0,18
1028,841,4,0,18
407,172,5,0,7
177,21,5,0,8
802,658,5,0,8
147,44,5,0,10
716,383,5,0,10
735,394,5,0,10
686,374,5,0,11
76,35,5,0,13
287,109,5,0,13
46,23,5,0,14
475,110,5,0,14
344,67,5,0,14
511,224,5,0,15
1107,822,5,0,15
511,117,5,0,16
1087,855,5,0,17
240,14,6,0,2
808,633,6,0,2
606,327,6,0,3
406,95,6,0,4
422,123,6,0,6
659,361,6,0,6
836,701,6,0,6
383,95,6,0,9
168,63,6,0,10
148,49,6,0,11
882,817,6,0,11
1104,807,6,0,12
677,359,6,0,14
28,14,6,0,15
1132,842,6,0,15
1005,840,6,0,17
1069,8,6,0,17
353,2,6,0,18
1094,855,6,0,18
144,2,7,0,5
279,84,7,0,5
178,21,7,0,6
510,119,7,0,9
587,252,7,0,10
102,17,7,0,12
117,49,7,0,12
215,65,7,0,12
50,15,7,0,13
63,35,7,0,13
81,13,7,0,13
540,175,7,0,13
654,289,7,0,13
19,9,8,0,5
109,30,8,0,6
635,223,8,0,6
337,30,8,0,6
271,87,8,0,10
6,13,8,0,10
403,158,8,0,10
493,173,8,0,12
542,231,8,0,13
849,815,8,0,14
1136,842,8,0,14
1002,838,8,0,16
1003,838,8,0,16
738,475,9,1,1
636,207,9,1,3
91,18,9,0,4
149,57,9,0,6
625,327,9,0,6
693,341,9,1,6
798,641,9,0,6
381,118,9,0,7
507,219,9,1,7
319,110,9,0,9
1126,840,9,0,11
556,187,9,0,13
207,14,10,1,1
634,235,10,0,2
627,309,10,0,6
706,385,10,0,6
63,14,10,0,11
497,119,10,0,11
309,117,11,0,3
456,187,11,1,5
488,172,11,0,5
234,44,11,1,8
174,49,11,0,9
665,304,11,0,9
931,815,11,0,11
1085,852,11,0,16
149,31,12,0,5
882,3,12,0,7
990,842,12,0,7
774,501,12,0,8
1019,826,12,0,14
878,818,12,0,17
593,224,13,1,3
660,346,13,0,3
783,578,13,0,4
213,55,13,0,6
237,44,13,1,9
330,95,13,0,9
522,187,13,0,9
29,12,13,0,11
51,25,13,0,11
211,56,14,0,3
168,23,14,0,6
727,356,14,0,6
990,807,14,0,6
172,35,14,0,7
459,158,14,0,7
1095,840,14,0,15
454,137,15,1,1
841,808,15,0,3
379,137,15,0,4
38,2,15,0,5
380,137,15,0,5
677,345,15,0,6
1105,842,15,0,10
381,123,16,0,4
755,403,16,1,5
1086,842,16,0,13
205,25,17,0,7
369,145,17,0,7
122,17,17,0,9
54,4,18,1,1
329,123,18,0,4
166,21,18,0,5
400,77,18,0,6
735,341,19,0,4
235,57,19,0,5
599,238,19,2,5
913,818,19,0,13
142,30,20,2,1
516,203,20,2,1
689,278,20,0,5
1099,1,20,0,5
613,309,20,1,6
974,13,20,0,9
534,199,22,2,5
600,238,22,2,5
1033,815,22,0,6
951,154,22,0,7
14,13,22,0,11
126,30,24,2,1
751,360,24,1,2
367,123,24,1,5
