raceId,driverId,constructorId,grid,positionOrder,points,statusId
raceId,driverId,constructorId,,,0,
309,137,22,8,1,10,1
336,137,22,7,1,9,1
426,137,34,5,1,9,1
396,137,3,3,1,9,1
509,137,34,5,1,9,1
452,137,34,4,1,9,1
414,137,3,2,1,9,1
416,137,3,6,1,9,1
442,137,34,1,1,9,1
485,137,34,1,1,9,1
501,137,34,1,1,9,1
395,137,3,4,1,9,1
465,137,34,4,1,9,1
443,137,34,1,1,9,1
474,137,34,4,1,9,1
464,137,34,4,1,9,1
508,137,34,5,1,9,1
404,137,3,2,1,9,1
492,137,34,6,1,9,1
398,137,3,1,1,9,1
335,137,22,6,1,9,1
486,137,34,5,1,9,1
413,137,3,5,1,9,1
146,14,1,7,1,10,1
161,14,1,4,1,10,1
108,14,1,11,1,10,1
207,14,1,4,1,10,1
143,14,1,5,1,10,1
130,14,1,2,1,10,1
194,14,1,1,1,10,1
219,14,1,6,1,10,1
186,14,1,2,1,10,1
182,14,1,3,1,10,1
164,14,1,3,1,10,1
252,14,3,1,1,10,1
166,14,1,2,1,10,1
370,145,22,6,1,9,1
95,15,4,1,1,10,1
481,163,4,6,1,9,1
500,163,4,2,1,9,1
463,163,6,10,1,9,1
461,163,6,2,1,9,1
477,163,4,1,1,9,1
459,163,6,1,1,9,1
499,163,4,6,1,9,1
859,17,9,2,1,25,1
342,17,9,1,1,25,1
868,17,9,2,1,25,1
341,17,9,1,1,25,1
865,17,9,1,1,25,1
346,17,9,2,1,25,1
9,17,9,1,1,10,1
348,17,9,2,1,25,1
16,17,9,2,1,10,1
513,172,27,1,1,9,1
496,172,27,10,1,9,1
512,172,27,1,1,9,1
506,172,27,5,1,9,1
550,172,27,8,1,9,1
493,172,27,4,1,9,1
422,173,32,3,1,9,1
479,173,32,7,1,9,1
455,175,6,3,1,9,1
478,175,6,5,1,9,1
425,177,3,5,1,9,1
444,177,3,8,1,9,1
435,177,3,3,1,9,1
480,177,3,8,1,9,1
456,177,3,5,1,9,1
483,178,3,2,1,9,1
505,178,3,3,1,9,1
522,178,3,2,1,9,1
511,178,3,5,1,9,1
554,178,58,14,1,9,1
523,178,3,2,1,9,1
521,178,3,2,1,9,1
504,178,3,4,1,9,1
510,178,3,2,1,9,1
525,178,3,1,1,9,1
498,178,3,1,1,9,1
497,178,3,2,1,9,1
851,18,1,3,1,25,1
340,18,1,5,1,25,1
4,18,23,4,1,10,1
5,18,23,1,1,10,1
871,18,1,1,1,25,1
879,18,1,2,1,25,1
855,18,1,2,1,25,1
860,18,1,2,1,25,1
1,18,23,1,1,10,1
847,18,1,7,1,25,1
65,18,11,14,1,10,1
7,18,23,2,1,10,1
338,18,1,4,1,25,1
2,18,23,1,1,5,1
6,18,23,1,1,10,1
440,182,1,9,1,9,1
581,182,6,1,1,9,1
568,182,6,1,1,9,1
553,182,6,3,1,9,1
584,182,6,1,1,9,1
555,182,6,4,1,9,1
545,182,6,3,1,9,1
437,182,1,8,1,9,1
561,182,6,2,1,9,1
445,182,1,3,1,9,1
430,182,1,10,1,9,1
580,182,6,1,1,9,1
589,182,6,1,1,9,1
565,182,6,1,1,9,1
564,182,6,1,1,9,1
597,182,6,1,1,9,1
560,182,6,2,1,9,1
476,182,1,5,1,9,1
469,182,1,2,1,9,1
449,182,1,4,1,9,1
593,182,6,1,1,9,1
540,182,34,4,1,9,1
447,182,1,4,1,9,1
534,182,34,3,1,9,1
582,182,6,5,1,9,1
491,187,1,5,1,9,1
473,187,1,17,1,9,1
570,187,67,2,1,9,1
471,187,1,10,1,9,1
453,187,1,22,1,9,1
541,199,6,2,1,9,1
601,199,34,2,1,9,1
592,199,34,4,1,9,1
484,199,3,2,1,9,1
604,199,34,1,1,9,1
503,199,3,2,1,9,1
487,199,3,1,1,9,1
528,199,6,4,1,9,1
530,199,6,1,1,9,1
536,199,6,8,1,9,1
544,199,6,2,1,9,1
586,199,34,10,1,9,1
846,20,9,1,1,25,1
8,20,9,1,1,10,1
3,20,9,1,1,10,1
894,20,9,1,1,25,1
898,20,9,1,1,25,1
989,20,6,3,1,25,1
1001,20,6,2,1,25,1
979,20,6,1,1,25,1
892,20,9,1,1,25,1
990,20,6,1,1,25,1
857,20,9,1,1,25,1
354,20,9,2,1,25,1
17,20,9,2,1,10,1
15,20,9,1,1,10,1
339,20,9,3,1,25,1
936,20,6,3,1,25,1
995,20,6,1,1,25,1
873,20,9,3,1,25,1
897,20,9,2,1,25,1
856,20,9,2,1,25,1
876,20,9,1,1,25,1
987,20,6,2,1,25,1
896,20,9,1,1,25,1
883,20,9,2,1,25,1
845,20,9,2,1,25,1
863,20,9,1,1,25,1
841,20,9,1,1,25,1
974,20,6,2,1,25,1
998,20,6,2,1,25,1
881,20,9,1,1,25,1
31,20,5,1,1,10,1
893,20,9,1,1,25,1
899,20,9,1,1,25,1
352,20,9,1,1,25,1
939,20,6,1,1,25,1
1024,20,6,3,1,25,1
854,20,9,1,1,25,1
355,20,9,1,1,25,1
886,20,9,1,1,25,1
875,20,9,2,1,25,1
848,20,9,1,1,25,1
888,20,9,2,1,25,1
345,20,9,1,1,25,1
852,20,9,1,1,25,1
842,20,9,1,1,25,1
874,20,9,1,1,25,1
891,20,9,2,1,25,1
969,20,6,2,1,25,1
895,20,9,2,1,25,1
853,20,9,1,1,25,1
971,20,6,3,1,25,1
844,20,9,1,1,25,1
927,20,6,2,1,25,1
579,200,1,11,1,4.5,1
502,202,27,2,1,9,1
475,202,6,4,1,9,1
470,202,6,4,1,9,1
526,203,6,3,1,9,1
489,203,6,7,1,9,1
542,203,6,3,1,9,1
514,203,6,3,1,9,1
515,203,6,1,1,9,1
488,203,6,2,1,9,1
535,207,32,2,1,9,1
532,207,32,1,1,9,1
533,207,32,1,1,9,1
539,207,32,1,1,9,1
527,207,32,1,1,9,1
537,207,32,1,1,9,1
556,207,32,4,1,9,1
551,207,32,1,1,9,1
632,207,6,4,1,9,1
546,207,32,2,1,9,1
575,207,32,1,1,9,1
547,207,32,1,1,9,1
110,21,17,8,1,10,1
54,21,4,1,1,10,1
71,21,4,1,1,10,1
507,219,4,2,1,9,1
519,219,4,1,1,9,1
118,22,6,1,1,10,1
139,22,6,2,1,10,1
11,22,23,3,1,10,1
136,22,6,1,1,10,1
168,22,6,18,1,10,1
123,22,6,1,1,10,1
138,22,6,4,1,10,1
132,22,6,4,1,10,1
104,22,6,1,1,10,1
105,22,6,1,1,10,1
13,22,23,5,1,10,1
531,221,25,5,1,9,1
516,221,27,2,1,9,1
518,222,6,1,1,9,1
548,222,59,2,1,9,1
599,222,25,3,1,9,1
517,222,6,7,1,9,1
543,222,59,11,1,9,1
524,222,6,3,1,9,1
596,222,25,2,1,9,1
558,222,59,9,1,9,1
566,222,25,1,1,9,1
578,222,25,3,1,9,1
520,223,3,4,1,9,1
600,223,6,2,1,9,1
588,223,6,2,1,9,1
652,223,6,3,1,9,1
562,223,6,1,1,9,1
576,224,1,5,1,9,1
626,224,32,2,1,9,1
606,224,32,2,1,9,1
605,224,32,2,1,9,1
629,224,32,4,1,9,1
585,224,1,7,1,9,1
622,224,32,3,1,9,1
603,224,1,1,1,9,1
628,224,32,1,1,9,1
608,224,32,7,1,9,1
624,224,32,1,1,9,1
654,224,32,3,1,9,1
594,224,1,4,1,9,1
591,224,1,1,1,9,1
125,23,3,4,1,10,1
148,23,3,2,1,10,1
117,23,3,1,1,10,1
144,23,3,3,1,10,1
116,23,3,3,1,10,1
152,23,3,2,1,10,1
587,230,37,8,1,4.5,1
559,231,1,2,1,9,1
557,231,1,1,1,9,1
574,231,1,1,1,9,1
567,231,1,1,1,9,1
573,231,1,1,1,9,1
552,231,1,1,1,9,1
569,231,1,1,1,9,1
583,231,64,3,1,9,1
563,231,1,1,1,9,1
571,231,1,2,1,9,1
655,235,6,3,1,9,1
672,235,6,3,1,9,1
664,235,182,1,1,9,1
635,235,6,1,1,9,1
662,235,182,1,1,9,1
627,235,6,1,1,9,1
651,235,6,3,1,9,1
653,235,6,2,1,9,1
529,238,32,12,1,9,1
612,238,32,5,1,9,1
616,238,32,2,1,9,1
572,238,37,8,1,9,1
619,238,32,1,1,9,1
602,238,32,7,1,9,1
538,238,32,1,1,9,1
595,238,32,3,1,9,1
598,238,32,2,1,9,1
617,238,32,1,1,9,1
577,250,34,6,1,9,1
549,255,32,3,1,9,1
735,289,66,2,1,9,1
707,289,66,1,1,9,1
734,289,66,2,1,9,1
658,289,180,4,1,9,1
700,289,66,1,1,9,1
668,289,180,6,1,9,1
726,289,66,1,1,9,1
729,289,66,2,1,9,1
717,289,66,4,1,9,1
719,289,66,2,1,9,1
709,289,66,3,1,9,1
678,289,180,3,1,9,1
669,289,180,1,1,9,1
737,289,66,2,1,9,1
917,3,131,1,1,25,1
933,3,131,2,1,25,1
951,3,131,1,1,25,1
887,3,131,2,1,25,1
862,3,131,1,1,25,1
948,3,131,2,1,25,1
930,3,131,1,1,25,1
961,3,131,2,1,25,1
944,3,131,1,1,25,1
943,3,131,1,1,25,1
960,3,131,1,1,25,1
964,3,131,1,1,25,1
885,3,131,1,1,25,1
900,3,131,3,1,25,1
945,3,131,1,1,25,1
907,3,131,3,1,25,1
962,3,131,1,1,25,1
949,3,131,2,1,25,1
905,3,131,1,1,25,1
955,3,131,1,1,25,1
909,3,131,1,1,25,1
950,3,131,1,1,25,1
931,3,131,2,1,25,1
199,30,6,2,1,10,1
100,30,6,4,1,10,1
122,30,6,7,1,10,1
300,30,22,3,1,10,1
67,30,6,2,1,10,1
113,30,6,1,1,10,1
128,30,6,1,1,10,1
254,30,22,3,1,10,1
177,30,6,3,1,10,1
124,30,6,2,1,10,1
145,30,6,1,1,10,1
240,30,22,2,1,10,1
211,30,6,2,1,10,1
90,30,6,1,1,10,1
159,30,6,3,1,10,1
160,30,6,2,1,10,1
165,30,6,1,1,10,1
171,30,6,1,1,10,1
174,30,6,1,1,10,1
286,30,22,6,1,10,1
133,30,6,3,1,10,1
243,30,22,1,1,10,1
153,30,6,1,1,10,1
57,30,6,2,1,10,1
248,30,22,2,1,10,1
154,30,6,3,1,10,1
56,30,6,1,1,10,1
270,30,22,1,1,10,1
97,30,6,6,1,10,1
121,30,6,1,1,10,1
257,30,22,2,1,10,1
94,30,6,1,1,10,1
99,30,6,2,1,10,1
106,30,6,1,1,10,1
141,30,6,1,1,10,1
131,30,6,2,1,10,1
112,30,6,1,1,10,1
266,30,22,1,1,10,1
63,30,6,1,1,10,1
111,30,6,1,1,10,1
244,30,22,2,1,10,1
250,30,22,16,1,10,1
158,30,6,3,1,10,1
79,30,6,5,1,10,1
101,30,6,1,1,10,1
237,30,6,3,1,10,1
149,30,6,1,1,10,1
197,30,6,3,1,10,1
213,30,6,1,1,10,1
98,30,6,2,1,10,1
204,30,6,1,1,10,1
263,30,22,3,1,10,1
93,30,6,2,1,10,1
115,30,6,3,1,10,1
135,30,6,1,1,10,1
198,30,6,2,1,10,1
236,30,6,3,1,10,1
172,30,6,1,1,10,1
178,30,6,2,1,10,1
64,30,6,2,1,10,1
222,30,6,2,1,10,1
91,30,6,1,1,10,1
102,30,6,1,1,10,1
134,30,6,2,1,10,1
150,30,6,2,1,10,1
127,30,6,1,1,10,1
147,30,6,2,1,10,1
62,30,6,1,1,10,1
214,30,6,1,1,10,1
218,30,6,3,1,10,1
246,30,22,2,1,10,1
255,30,22,1,1,10,1
258,30,22,2,1,10,1
68,30,6,6,1,10,1
259,30,22,2,1,10,1
230,30,6,3,1,10,1
126,30,6,2,1,10,1
142,30,6,1,1,10,1
92,30,6,1,1,10,1
129,30,6,3,1,10,1
140,30,6,1,1,10,1
163,30,6,2,1,10,1
193,30,6,2,1,10,1
262,30,22,1,1,10,1
260,30,22,1,1,10,1
137,30,6,1,1,10,1
253,30,22,3,1,10,1
157,30,6,1,1,10,1
96,30,6,1,1,10,1
173,30,6,1,1,10,1
202,30,6,3,1,10,1
666,304,187,4,1,9,1
675,304,187,7,1,9,1
685,304,191,2,1,9,1
611,304,1,6,1,9,1
621,304,1,5,1,9,1
680,304,191,4,1,9,1
676,304,187,6,1,9,1
590,304,1,10,1,9,1
623,306,66,4,1,9,1
613,309,1,3,1,9,1
618,309,1,2,1,9,1
85,31,1,1,1,10,1
119,31,3,1,1,10,1
81,31,1,3,1,10,1
87,31,1,2,1,10,1
155,31,3,1,1,10,1
114,31,3,3,1,10,1
107,31,3,2,1,10,1
640,320,66,11,1,9,1
642,327,25,5,1,9,1
663,328,196,3,1,9,1
661,328,196,2,1,9,1
656,328,196,4,1,9,1
610,328,25,1,1,9,1
633,328,25,4,1,9,1
660,328,196,1,1,9,1
659,328,196,2,1,9,1
634,328,25,1,1,9,1
690,328,66,3,1,9,1
630,328,25,5,1,9,1
636,328,25,1,1,9,1
625,328,25,3,1,9,1
641,328,25,1,1,9,1
637,328,25,2,1,9,1
674,328,196,6,1,9,1
631,328,25,1,1,9,1
614,328,25,2,1,9,1
615,328,25,1,1,9,1
671,328,196,5,1,9,1
